country,title,salary_min,salary_max,employment_type,category,posting_date,location,is_estimated,company_name,exchange_rate,salary_min_pln,salary_max_pln,salary_avg_pln,salary_spread_pct,IT_seniority_level,day_of_week,has_salary
pl,DevOps Engineer @ Cognitran,1920.0,2400.0,full_time,IT,2026-03-07 01:37:55+00:00,Polska,False,Cognitran,1.0,23040.0,28800.0,25920.0,25.0,Not Specified,Saturday,True
gb,IT Service Engineer,27000.0,30000.0,full_time,IT,2026-03-08 07:47:43+00:00,"Surrey, South East England",False,GET STAFFED ONLINE RECRUITMENT LIMITED,4.8924,132094.80000000002,146772.0,139433.40000000002,11.111111111111097,Not Specified,Sunday,True
gb,MOT Tester,50000.0,50000.0,Not specified,Engineering Jobs,2026-04-02 09:08:36+00:00,"Burnhaven, Peterhead",False,Arnold Clark.,4.8924,244620.00000000003,244620.00000000003,244620.00000000003,0.0,,Thursday,True
pl,Senior IT Operations Specialist – Database Management Solutions,241920.0,282240.0,full_time,IT,2026-03-21 02:11:58+00:00,"Gdynia, Trójmiasto",False,DCG,1.0,241920.0,282240.0,262080.0,16.666666666666664,Senior,Saturday,True
pl,Middle Frontend Developer,156000.0,192000.0,full_time,IT,2026-04-01 03:12:40+00:00,"Warszawa, mazowieckie",False,Ingenious.Build,1.0,156000.0,192000.0,174000.0,23.076923076923077,Mid,Wednesday,True
pl,IT Analyst,,,Not specified,IT,2026-03-28 17:17:17+00:00,"Warszawa, mazowieckie",False,SQUARE ONE RESOURCES sp. z o.o.,1.0,,,,,Not Specified,Saturday,False
gb,IT Helpdesk Technician Apprentice,15642.0,15642.0,full_time,IT,2026-03-13 13:31:40+00:00,"Manchester, Greater Manchester",False,QA,4.8924,76526.9208,76526.9208,76526.9208,0.0,Not Specified,Friday,True
pl,IT Analyst Product Owner,192000.0,264000.0,full_time,IT,2026-03-25 02:10:08+00:00,"Warszawa, mazowieckie",False,Jit Team,1.0,192000.0,264000.0,228000.0,37.5,Not Specified,Wednesday,True
gb,IT Support Engineer,44427.39,44427.39,full_time,IT,2026-03-06 13:48:24+00:00,"London, UK",True,Verifone,4.8924,217356.562836,217356.562836,217356.562836,0.0,Not Specified,Friday,True
us,IT Business Analyst,79783.29,79783.29,Not specified,IT,2026-03-27 10:10:56+00:00,"Mount Rainier, Prince George's County",True,TechSur Solutions,3.6506,291256.87847399997,291256.87847399997,291256.87847399997,0.0,Not Specified,Friday,True
us,IT Intern,26666.42,26666.42,Not specified,IT,2026-03-13 21:40:48+00:00,"Lebanon, Warren County",True,FECON,3.6506,97348.43285199998,97348.43285199998,97348.43285199998,0.0,Junior,Friday,True
us,Registered Nurse (RN) - Hiring Now!,68777.1,68777.1,Not specified,Healthcare & Nursing Jobs,2026-03-11 08:21:13+00:00,"Aurora, Arapahoe County",True,HCA HealthONE Aurora,3.6506,251077.68126,251077.68126,251077.68126,0.0,,Wednesday,True
us,Licensed Physical Therapist,110486.43,110486.43,full_time,Healthcare & Nursing Jobs,2026-03-31 21:02:21+00:00,"Grandfield, Tillman County",True,Encompass Health Rehabilitation Hospital of Wichita Falls,3.6506,403341.76135799993,403341.76135799993,403341.76135799993,0.0,,Tuesday,True
us,IT Business Analyst/HR,135931.73,135931.73,full_time,IT,2026-02-14 17:52:15+00:00,"Rockford, Winnebago County",True,World Wide Technology,3.6506,496232.37353800004,496232.37353800004,496232.37353800004,0.0,Not Specified,Saturday,True
us,"Driver, Trainee Hourly",45966.15,45966.15,full_time,Travel Jobs,2026-03-09 10:32:59+00:00,"Crystal, Hennepin County",True,"Mclane Company, Inc.",3.6506,167804.02719,167804.02719,167804.02719,0.0,,Monday,True
us,$250/60min Paid Market Research Study for IT Infrastructure Manager in the IT Sector,79270.29,79270.29,Not specified,IT,2026-03-14 10:37:39+00:00,"Mount Rainier, Prince George's County",True,Ivy Exec,3.6506,289384.12067399995,289384.12067399995,289384.12067399995,0.0,Not Specified,Saturday,True
gb,IT-Leiter,75000.0,80000.0,full_time,IT,2026-04-03 04:24:35+00:00,"Chilworth Science Park, Chilworth",False,Spectrum IT Recruitment,4.8924,366930.0,391392.0,379161.0,6.666666666666667,Not Specified,Friday,True
pl,Senior Java Developer,180000.0,300000.0,full_time,IT,2026-02-08 01:52:07+00:00,"Wrocław, dolnośląskie",False,Code and Pepper,1.0,180000.0,300000.0,240000.0,66.66666666666666,Senior,Sunday,True
us,IT Business Analyst/HR,137173.31,137173.31,full_time,IT,2026-02-10 04:57:43+00:00,"Melbourne, Brevard County",True,World Wide Technology,3.6506,500764.885486,500764.885486,500764.885486,0.0,Not Specified,Tuesday,True
gb,Assistant Restaurant Leader,35384.85,35384.85,Not specified,Hospitality & Catering Jobs,2026-01-28 15:38:16+00:00,"Strand, Central London",True,Raising Cane's,4.8924,173116.84014000001,173116.84014000001,173116.84014000001,0.0,,Wednesday,True
gb,Workplace Support Coordinator,24000.0,24000.0,full_time,Social work Jobs,2026-03-23 07:14:30+00:00,"Eastleigh, Hampshire",False,Microlink PC  Limited,4.8924,117417.6,117417.6,117417.6,0.0,,Monday,True
pl,Hadoop Big Data Developer @ Red Global,,,full_time,IT,2026-03-18 02:49:27+00:00,Polska,False,Red Global,1.0,,,,,Not Specified,Wednesday,False
gb,IT Apprentice,20000.0,20000.0,Not specified,IT,2026-03-16 12:12:37+00:00,"Loch Flemington, Inverness",False,QA Limited,4.8924,97848.0,97848.0,97848.0,0.0,Not Specified,Monday,True
us,Licensed Occupational Therapist,100018.19,100018.19,full_time,Healthcare & Nursing Jobs,2026-03-19 21:19:11+00:00,"Evergreen, Jefferson County",True,Cherrelyn Healthcare Center,3.6506,365126.404414,365126.404414,365126.404414,0.0,,Thursday,True
pl,Senior IT Developer (Angular  Java) @ Antal,1500.0,1800.0,full_time,IT,2026-02-19 01:31:06+00:00,Polska,False,Antal,1.0,18000.0,21600.0,19800.0,20.0,Senior,Thursday,True
us,"Houseparents, Full-Time - Relocation to Hershey, PA Required",81741.53,81741.53,full_time,Healthcare & Nursing Jobs,2025-10-03 01:19:39+00:00,"Casa Blanca, Riverside County",True,Milton Hershey School,3.6506,298405.629418,298405.629418,298405.629418,0.0,,Friday,True
gb,IT Manager,51311.77,51311.77,Not specified,Hospitality & Catering Jobs,2026-03-13 22:01:55+00:00,"Oxford Circus, Central London",True,Mandarin Oriental Mayfair,4.8924,251037.703548,251037.703548,251037.703548,0.0,,Friday,True
us,Registered Nurse,60722.56,60722.56,full_time,Healthcare & Nursing Jobs,2026-04-01 05:16:56+00:00,"Portland, Callaway County",True,"Rusk Rehabilitation Hospital, an affiliation of Encompass Health and MU Health Care",3.6506,221673.77753599998,221673.77753599998,221673.77753599998,0.0,,Wednesday,True
pl,Junior IT Sales Specialist Outsourcing IT,,,full_time,IT,2026-02-25 01:49:39+00:00,"Warszawa, mazowieckie",False,Lumicode Sp. z o.o. ,1.0,,,,,Junior,Wednesday,False
pl,Ekspertka Ekspert ds analiz IT Site Reliability Engineer,,,full_time,IT,2026-02-25 01:56:22+00:00,"Warszawa, mazowieckie",False,PKO Bank Polski,1.0,,,,,Not Specified,Wednesday,False
pl,Python Developer with AI ML – Internal IT f m x,,,full_time,IT,2026-03-14 02:32:28+00:00,"Rzeszów, podkarpackie",False,Sii,1.0,,,,,Junior,Saturday,False
us,Lead IT Systems Engineer - Public Sector,171233.12,171233.12,full_time,Engineering Jobs,2026-02-20 06:06:32+00:00,"Augusta, Richmond County",True,Lumen,3.6506,625103.627872,625103.627872,625103.627872,0.0,,Friday,True
gb,IT Sales,50000.0,50000.0,Not specified,IT,2026-02-27 22:23:11+00:00,"Horley, Surrey",False,Job Board Direct,4.8924,244620.00000000003,244620.00000000003,244620.00000000003,0.0,Not Specified,Friday,True
gb,Builder (Self-Employed),46415.56,46415.56,Not specified,Trade & Construction Jobs,2025-05-16 09:51:23+00:00,"Angus, Scotland",True,MyJobQuote,4.8924,227083.485744,227083.485744,227083.485744,0.0,,Friday,True
pl,Cloud Containers Security - Enterprise Engineer,432000.0,480000.0,full_time,IT,2026-03-01 01:55:13+00:00,"Warszawa, mazowieckie",False,Antal Sp. z o.o.,1.0,432000.0,480000.0,456000.0,11.11111111111111,Not Specified,Sunday,True
gb,IT Developer,48227.27,48227.27,full_time,IT,2026-03-16 18:43:41+00:00,"Worcester, Worcestershire",True,Hive,4.8924,235947.095748,235947.095748,235947.095748,0.0,Not Specified,Monday,True
us,IT Internal Controls Manager - Remote,157201.75,157201.75,full_time,Accounting & Finance Jobs,2026-02-28 10:53:50+00:00,"Textile Finance, Los Angeles County",True,Skillsoft,3.6506,573880.70855,573880.70855,573880.70855,0.0,,Saturday,True
gb,IT Engineer Apprentice,16000.0,16000.0,Not specified,IT,2026-03-24 12:28:06+00:00,UK,False,QA Limited,4.8924,78278.40000000001,78278.40000000001,78278.40000000001,0.0,Not Specified,Tuesday,True
us,Dietitian,61925.99,61925.99,part_time,Healthcare & Nursing Jobs,2026-04-01 05:22:36+00:00,"West Grove, Chester County",True,Encompass Health Rehabilitation Hospital of Concordville,3.6506,226067.019094,226067.019094,226067.019094,0.0,,Wednesday,True
pl,Architekt Rozwiązań IT – obszar płatności(K/M/N) @ Upvanta,14400.0,16800.0,full_time,IT,2026-03-10 01:39:16+00:00,"Wrocław, dolnośląskie",False,Upvanta,1.0,172800.0,201600.0,187200.0,16.666666666666664,Not Specified,Tuesday,True
us,"Youth Development Specialist - Relocation to Hershey, PA Required",68789.83,68789.83,full_time,Healthcare & Nursing Jobs,2025-10-03 01:20:17+00:00,"Chino, San Bernardino County",True,Milton Hershey School,3.6506,251124.153398,251124.153398,251124.153398,0.0,,Friday,True
gb,"SEN / SEND Tutor, Isle of Wight",58240.0,72800.0,part_time,Teaching Jobs,2026-01-26 17:42:18+00:00,"Southsea, Hampshire",False,Targeted Provision Ltd,4.8924,284933.376,356166.72000000003,320550.048,25.000000000000018,,Monday,True
pl,Specjalista Specjalistka ds wsparcia IT,,,full_time,IT,2026-02-28 02:13:12+00:00,Polska,False,Leroy Merlin Polska,1.0,,,,,Not Specified,Saturday,False
pl,IT Analyst IBM Maximo k m,,,full_time,IT,2026-02-21 01:53:24+00:00,"Wrocław, dolnośląskie",False,PSE Innowacje sp. z o.o.,1.0,,,,,Not Specified,Saturday,False
pl,Doradca / Doradczyni klienta @ Leroy Merlin,,,full_time,IT,2026-03-11 01:42:01+00:00,Polska,False,Leroy Merlin,1.0,,,,,Not Specified,Wednesday,False
pl,It Support Engineer @ VSI / Voice & Script International,,,full_time,IT,2026-04-01 02:50:51+00:00,"Warszawa, mazowieckie",False,VSI / Voice & Script International,1.0,,,,,Junior,Wednesday,False
us,"Residential Youth Caregiver - Relocation to Hershey, PA Required",67976.6,67976.6,full_time,Healthcare & Nursing Jobs,2025-10-03 01:20:19+00:00,"Alamance, Alamance County",True,Milton Hershey School,3.6506,248155.37596,248155.37596,248155.37596,0.0,,Friday,True
gb,IT Support Engineer / Deployment Technician,35000.0,35000.0,full_time,IT,2026-03-10 21:28:07+00:00,"Bristol, South West England",False,AWD online,4.8924,171234.0,171234.0,171234.0,0.0,Not Specified,Tuesday,True
gb,Projects Engineer,39833.12,39833.12,Not specified,Engineering Jobs,2026-03-04 09:57:33+00:00,"Callington, Cornwall",True,Samworth Brothers,4.8924,194879.55628800002,194879.55628800002,194879.55628800002,0.0,,Wednesday,True
pl,Analityk Danych Specjalista ds Procesów IT,181440.0,312480.0,full_time,IT,2026-02-28 02:12:45+00:00,"Warszawa, mazowieckie",False,moondigo sp. z o.o.,1.0,181440.0,312480.0,246960.0,72.22222222222221,Not Specified,Saturday,True
gb,Decorator (Self-Employed),37676.1,37676.1,Not specified,Trade & Construction Jobs,2025-05-16 09:51:18+00:00,"Oswestry, Shropshire",True,MyJobQuote,4.8924,184326.55164,184326.55164,184326.55164,0.0,,Friday,True
us,Shift Manager - Urgently Hiring,44921.82,44921.82,Not specified,Hospitality & Catering Jobs,2026-03-19 03:30:34+00:00,"Spencer, Marathon County",True,Dunkin/Baskin - Marshfield,3.6506,163991.596092,163991.596092,163991.596092,0.0,,Thursday,True
us,$250/60min Paid Market Research Study for IT Operations Manager in the IT Sector,82645.38,82645.38,Not specified,IT,2026-03-14 10:38:50+00:00,"Grand Central, Manhattan",True,Ivy Exec,3.6506,301705.224228,301705.224228,301705.224228,0.0,Not Specified,Saturday,True
gb,IT Support Apprentice,26000.0,30000.0,Not specified,Admin Jobs,2026-03-17 12:24:29+00:00,UK,False,QA Limited,4.8924,127202.40000000001,146772.0,136987.2,15.384615384615378,,Tuesday,True
us,IT Business Analyst/HR,129525.76,129525.76,full_time,IT,2026-02-14 17:52:14+00:00,"Charleston, Charleston County",True,World Wide Technology,3.6506,472846.739456,472846.739456,472846.739456,0.0,Not Specified,Saturday,True
gb,Senior IT Systems Administrator,33899.65,33899.65,full_time,IT,2026-04-02 21:55:28+00:00,"Glasgow City Centre, Glasgow",True,Muller UK & Ireland,4.8924,165850.64766000002,165850.64766000002,165850.64766000002,0.0,Senior,Thursday,True
gb,Amazon Flex Delivery Driver - Earn £14 - £18 per hour*,14.0,18.0,Not specified,Logistics & Warehouse Jobs,2026-03-13 00:20:23+00:00,"Earley, Reading",False,Amazon Flex,4.8924,821.9232,1056.7584000000002,939.3408000000001,28.571428571428598,,Friday,True
pl,Specjalista ds. sprzedaży B2B w branży IT,96000.0,96000.0,full_time,IT,2026-04-02 03:07:05+00:00,"Warszawa, mazowieckie",False,Securivy - Bezpieczeństwo IT,1.0,96000.0,96000.0,96000.0,0.0,Not Specified,Thursday,True
gb,Audit Manager,48667.96,48667.96,Not specified,Accounting & Finance Jobs,2026-02-24 10:27:15+00:00,"Aylesbury, Buckinghamshire",True,HAYS,4.8924,238103.127504,238103.127504,238103.127504,0.0,,Tuesday,True
gb,Trainee Engineer,26326.07,26326.07,Not specified,Trade & Construction Jobs,2026-04-02 05:04:43+00:00,"Tewkesbury, Gloucestershire",True,Bloor Homes - School Leavers & Graduates,4.8924,128797.664868,128797.664868,128797.664868,0.0,,Thursday,True
gb,IT Engineer,38000.0,40000.0,full_time,IT,2026-04-03 04:24:34+00:00,"Taplow, Maidenhead",False,83zero Ltd,4.8924,185911.2,195696.0,190803.6,5.263157894736835,Not Specified,Friday,True
gb,IT Service Manager,55000.0,65000.0,full_time,IT,2026-03-27 16:13:10+00:00,"London, UK",False,Front & Front FM,4.8924,269082.0,318006.0,293544.0,18.181818181818183,Not Specified,Friday,True
gb,IT Support Law Firm - Manchester,25000.0,30000.0,full_time,IT,2026-03-06 18:49:07+00:00,"Manchester, Greater Manchester",False,Circle Recruitment,4.8924,122310.00000000001,146772.0,134541.0,19.999999999999986,Not Specified,Friday,True
gb,IT Support Apprentice,19000.0,19000.0,full_time,IT,2026-03-30 23:38:16+00:00,"Northampton, Northamptonshire",False,QA,4.8924,92955.6,92955.6,92955.6,0.0,Not Specified,Monday,True
pl,Specjalistka / Specjalista ds. Wyceny Nieruchomości,,,full_time,IT,2026-03-18 02:15:54+00:00,"Warszawa, mazowieckie",False,VeloBank S.A.,1.0,,,,,Not Specified,Wednesday,False
us,Physical Therapist,92360.22,92360.22,full_time,Healthcare & Nursing Jobs,2026-04-01 05:12:19+00:00,"Dover, Hillsborough County",True,Encompass Health Rehabilitation Hospital of Lakeland,3.6506,337170.219132,337170.219132,337170.219132,0.0,,Wednesday,True
pl,IT Operations Specialist,262080.0,272160.0,full_time,IT,2026-04-01 03:12:41+00:00,"Warszawa, mazowieckie",False,emagine Polska,1.0,262080.0,272160.0,267120.0,3.8461538461538463,Not Specified,Wednesday,True
us,"Physical Therapist (PT) Hiring for all positions, full-time and PRN available.",90048.7,90048.7,part_time,Healthcare & Nursing Jobs,2026-04-01 05:14:34+00:00,"Panther Creek, Montgomery County",True,Encompass Health Rehabilitation Hospital of The Woodlands,3.6506,328731.78422,328731.78422,328731.78422,0.0,,Wednesday,True
pl,Samodzielna Księgowa / Samodzielny Księgowy,,,full_time,Księgowość i finanse,2026-02-10 01:45:49+00:00,"Garwolin, mazowieckie",False,BRÜGGEN POLSKA,1.0,,,,,,Tuesday,False
pl,Senior IT Business Analyst - Freelance,241920.0,282240.0,full_time,IT,2026-01-30 01:37:50+00:00,"Katowice, śląskie",False,Netguru,1.0,241920.0,282240.0,262080.0,16.666666666666664,Senior,Friday,True
gb,IT Infrastructure Team Lead,75000.0,75000.0,full_time,IT,2026-04-02 14:34:08+00:00,"Belfast, Northern Ireland",False,Ocho,4.8924,366930.0,366930.0,366930.0,0.0,Senior,Thursday,True
pl,IT PMO Associate Manager,,,full_time,IT,2026-02-27 01:57:03+00:00,"Kraków, małopolskie",False,Antal Sp. z o.o.,1.0,,,,,Not Specified,Friday,False
us,CDL A Delivery Truck Driver,64200.91,64200.91,full_time,Logistics & Warehouse Jobs,2026-03-16 22:08:53+00:00,"Botkins, Shelby County",True,"Mclane Company, Inc.",3.6506,234371.842046,234371.842046,234371.842046,0.0,,Monday,True
gb,IT Helpdesk Engineer (1st Line),25000.0,27500.0,full_time,IT,2026-03-13 19:41:45+00:00,"Barnet, Hertfordshire",False,Circle Recruitment,4.8924,122310.00000000001,134541.0,128425.5,9.999999999999986,Not Specified,Friday,True
pl,Senior Solutions Architect ( Exchange & Teams) @ Bayer,242880.0,303600.0,full_time,IT,2025-12-16 00:53:32+00:00,"Warszawa, mazowieckie",False,Bayer,1.0,242880.0,303600.0,273240.0,25.0,Senior,Tuesday,True
pl,Architekt / Architektka Systemów IT @ Santander Consumer Bank,,,full_time,IT,2026-03-21 01:44:28+00:00,"Wrocław, dolnośląskie",False,Santander Consumer Bank,1.0,,,,,Not Specified,Saturday,False
pl,Senior Fullstack Developer Kotlin Java z j niemieckim - Retail Security Solutions,282240.0,362880.0,full_time,IT,2026-03-25 02:08:15+00:00,"Gorzów Wielkopolski, lubuskie",False,dmTECH Polska,1.0,282240.0,362880.0,322560.0,28.57142857142857,Senior,Wednesday,True
gb,Amazon Flex Delivery Driver - Earn £14 - £18 per hour*,14.0,18.0,Not specified,Logistics & Warehouse Jobs,2026-04-02 02:38:09+00:00,"Little Laver, Ongar",False,Amazon Flex,4.8924,821.9232,1056.7584000000002,939.3408000000001,28.571428571428598,,Thursday,True
pl,IT Support Analyst 2nd line | f m d,,,full_time,IT,2026-02-18 02:27:54+00:00,"Gdańsk, Trójmiasto",False,ERGO Technology & Services,1.0,,,,,Not Specified,Wednesday,False
pl,Staff Software Engineer PHP NodeJS,,,full_time,IT,2026-03-05 02:40:22+00:00,Polska,False,Svitla Systems,1.0,,,,,Not Specified,Thursday,False
gb,IT Project Coordinator,28000.0,30000.0,full_time,IT,2026-03-18 20:02:31+00:00,"Edinburgh Technopole, Milton Bridge",False,Reed,4.8924,136987.2,146772.0,141879.6,7.142857142857134,Not Specified,Wednesday,True
us,Recruiter - IT,146987.34,146987.34,Not specified,HR & Recruitment Jobs,2026-02-12 20:27:48+00:00,"Uptown, Marion County",True,ManpowerGroup,3.6506,536591.9834039999,536591.9834039999,536591.9834039999,0.0,,Thursday,True
pl,ServiceNow - CSM Architect @ Spyrosoft,2280.0,2760.0,full_time,IT,2026-01-14 01:17:01+00:00,Polska,False,Spyrosoft,1.0,27360.0,33120.0,30240.0,21.052631578947366,Not Specified,Wednesday,True
us,Radiologic Technologist I,86583.46,86583.46,full_time,Healthcare & Nursing Jobs,2026-04-01 05:06:08+00:00,"Falcon, El Paso County",True,UCHealth,3.6506,316081.579076,316081.579076,316081.579076,0.0,,Wednesday,True
pl,Machine Learning Engineer/MLOPS Engineer @ Integral Solutions,720.0,1272.0,full_time,IT,2026-02-25 01:33:30+00:00,"Warszawa, mazowieckie",False,Integral Solutions,1.0,8640.0,15264.0,11952.0,76.66666666666667,Not Specified,Wednesday,True
us,"Houseparents, Full-Time - Relocation to Hershey, PA Required",71483.8,71483.8,full_time,Healthcare & Nursing Jobs,2025-10-03 01:20:21+00:00,"Timpanogos, Utah County",True,Milton Hershey School,3.6506,260958.76028,260958.76028,260958.76028,0.0,,Friday,True
us,CNA- Certified Nursing Assistant- Skilled Nursing,25057.25,25057.25,part_time,Healthcare & Nursing Jobs,2026-04-01 05:22:33+00:00,"Gardena, Boise County",True,Terraces of Boise - a HumanGood community,3.6506,91473.99685,91473.99685,91473.99685,0.0,,Wednesday,True
gb,IT Apprentice,21000.0,21000.0,full_time,IT,2026-03-30 20:44:36+00:00,UK,False,QA Limited,4.8924,102740.40000000001,102740.40000000001,102740.40000000001,0.0,Not Specified,Monday,True
pl,Infrastructure Engineer – Storage Backup Virtualization f m x,,,full_time,IT,2026-03-20 02:09:33+00:00,"Rzeszów, podkarpackie",False,Sii,1.0,,,,,Not Specified,Friday,False
pl,Join Our IT Talent Pool - SAP Consultant,,,full_time,IT,2026-03-14 02:06:09+00:00,Polska,False,emagine Polska,1.0,,,,,Not Specified,Saturday,False
pl,Pracownik produkcji- obsługa przewijarki k/m,60600.0,72000.0,full_time,IT,2026-02-06 01:55:09+00:00,"Rzgów, wielkopolskie",False,Level Work,1.0,60600.0,72000.0,66300.0,18.81188118811881,Not Specified,Friday,True
pl,IT Internship,,,Not specified,Unknown,2026-03-19 04:18:00+00:00,Polska,False,From Poland With Dev,1.0,,,,,,Thursday,False
gb,Design Manager (Main Contractor),54261.71,54261.71,Not specified,Trade & Construction Jobs,2026-02-24 10:27:16+00:00,UK,True,HAYS,4.8924,265469.990004,265469.990004,265469.990004,0.0,,Tuesday,True
pl,IT Architect,216000.0,300000.0,full_time,IT,2026-02-08 02:02:24+00:00,"Kraków, małopolskie",False,Code and Pepper,1.0,216000.0,300000.0,258000.0,38.88888888888889,Not Specified,Sunday,True
pl,Senior Ruby on Rails Developer,,,full_time,IT,2026-04-01 03:08:08+00:00,"Kraków, małopolskie",False,LLInformatics,1.0,,,,,Senior,Wednesday,False
gb,Bathroom Fitter (Self-Employed),46760.19,46760.19,Not specified,Trade & Construction Jobs,2025-05-16 09:51:42+00:00,"Great Bromley, Colchester",True,MyJobQuote,4.8924,228769.55355600003,228769.55355600003,228769.55355600003,0.0,,Friday,True
us,"House Parents - Relocation to Hershey, PA Required",88677.65,88677.65,full_time,Healthcare & Nursing Jobs,2025-10-03 01:06:45+00:00,"Indian Wells, Riverside County",True,Milton Hershey School,3.6506,323726.62908999994,323726.62908999994,323726.62908999994,0.0,,Friday,True
gb,Learner Driver Trainer (Driving Licence Required),44191.81,44191.81,full_time,Teaching Jobs,2025-10-24 12:30:00+00:00,"Barkston Ash, Tadcaster",True,My Four Wheels,4.8924,216204.011244,216204.011244,216204.011244,0.0,,Friday,True
us,Speech Pathologist,86454.24,86454.24,part_time,Healthcare & Nursing Jobs,2026-02-01 02:43:48+00:00,"East Clinton, Whiteside County",True,The Quad Cities Rehabilitation Institute,3.6506,315609.848544,315609.848544,315609.848544,0.0,,Sunday,True
pl,Zbieranie zamówień! Praca w znanym sklepie meblowym w Gdańsku!,48600.0,64800.0,full_time,IT,2026-03-14 02:16:29+00:00,"Gdańsk, Trójmiasto",False,OTTO Work Force,1.0,48600.0,64800.0,56700.0,33.33333333333333,Not Specified,Saturday,True
us,CDL A Truck Driver,70767.3,70767.3,full_time,Logistics & Warehouse Jobs,2026-03-17 22:14:07+00:00,"Waconia, Carver County",True,"Mclane Company, Inc.",3.6506,258343.10538,258343.10538,258343.10538,0.0,,Tuesday,True
us,Occupational Therapist,114674.7,114674.7,part_time,Healthcare & Nursing Jobs,2025-12-01 22:27:41+00:00,"Elkhurst, Boone County",True,"Rusk Rehabilitation Hospital, an affiliation of Encompass Health and MU Health Care",3.6506,418631.45982,418631.45982,418631.45982,0.0,,Monday,True
us,Licensed Mental Health Therapist,90434.08,90434.08,Not specified,Healthcare & Nursing Jobs,2026-02-26 02:02:18+00:00,"Williams, Tulsa County",True,Headway,3.6506,330138.652448,330138.652448,330138.652448,0.0,,Thursday,True
gb,Global IT Compliance Auditor,63000.72,63000.72,Not specified,IT,2026-04-03 11:34:37+00:00,"Newcastle Upon Tyne, Tyne & Wear",True,Sage,4.8924,308224.722528,308224.722528,308224.722528,0.0,Not Specified,Friday,True
us,LMHT (Remote),90469.62,90469.62,Not specified,Healthcare & Nursing Jobs,2026-02-25 19:39:53+00:00,"Philatelic, Alameda County",True,Headway,3.6506,330268.39477199997,330268.39477199997,330268.39477199997,0.0,,Wednesday,True
pl,Senior IT Operations Specialist - Oracle DB,182400.0,277200.0,full_time,IT,2026-03-19 02:14:04+00:00,"Gdynia, Trójmiasto",False,Jit Team,1.0,182400.0,277200.0,229800.0,51.973684210526315,Senior,Thursday,True
us,Restaurant General Manager,45356.6,45356.6,full_time,Hospitality & Catering Jobs,2026-02-11 18:38:15+00:00,"Stokes Bridge, Lee County",True,Zaxby's,3.6506,165578.80396,165578.80396,165578.80396,0.0,,Wednesday,True
